sample_id,text_claim_detected,text_specificity,text_risk_score,text_raw_json,mm_claim_detected,mm_specificity,mm_risk_score,mm_raw_json,claim_changed,specificity_changed,risk_delta,image_added_value_flag
P001,True,mixed,2,"{""claim_detected"": true, ""claim_modalities"": [""text""], ""claim_types"": [""organic_or_natural"", ""certification_or_label"", ""plant_based"", ""recyclable""], ""specificity"": ""mixed"", ""evidence_strength"": ""moderate"", ""risk_score"": 2, ""risk_label"": ""low"", ""evidence"": [{""modality"": ""text"", ""snippet"": ""V-Label International, V-Label International Vegan"", ""explanation"": ""These are recognized certifications indicating vegan and plant-based product status, providing credible sustainability-related claims.""}, {""modality"": ""text"", ""snippet"": ""Producto natural"", ""explanation"": ""The product is described as natural, which is a somewhat vague but positive environmental cue.""}, {""modality"": ""text"", ""snippet"": ""Packaging: 7 (Plastica). Raccolta differenziata."", ""explanation"": ""Indicates the packaging is plastic type 7 and suggests separate collection, implying some recyclability information.""}], ""reasoning_summary"": ""The product makes specific claims supported by recognized certifications (V-Label International and Vegan), indicating plant-based and vegan credentials. The 'natural' claim is somewhat vague but common. Packaging information suggests recyclability but is not a strong environmental claim. Overall, claims are specific and supported, leading to a low greenwashing risk score of 2."", ""needs_human_check"": []}",True,mixed,3,"{""claim_detected"": true, ""claim_modalities"": [""text"", ""image""], ""claim_types"": [""organic_or_natural"", ""carbon_or_climate"", ""packaging_reduction"", ""certification_or_label"", ""recyclable""], ""specificity"": ""mixed"", ""evidence_strength"": ""moderate"", ""risk_score"": 3, ""risk_label"": ""medium"", ""evidence"": [{""modality"": ""text"", ""snippet"": ""V-Label International, V-Label International Vegan"", ""explanation"": ""These are recognized certifications indicating vegan and vegetarian standards, which are specific and verifiable claims related to sustainability and ethical considerations.""}, {""modality"": ""text"", ""snippet"": ""Dieses Produkt ist ein Produkt natürlich (This product is a natural product)"", ""explanation"": ""The claim 'natural product' is somewhat vague but indicates an organic or natural claim.""}, {""modality"": ""image"", ""snippet"": ""Von Natur Aus (From nature)"", ""explanation"": ""This phrase suggests the product is naturally sourced, supporting the natural claim but is somewhat vague.""}, {""modality"": ""image"", ""snippet"": ""Nutriscore A"", ""explanation"": ""Nutriscore A is a nutrition label indicating a healthier product, which is a specific and verifiable claim related to health but indirectly linked to sustainability.""}, {""modality"": ""text"", ""snippet"": ""Die Verpackung: 7 (Plastik). Raccolta differenziata. Verifica le izioni del tuo Comune."", ""explanation"": ""Indicates the packaging is plastic and suggests recycling, which is a recyclable packaging claim but no specific eco-friendly packaging claim is made.""}], ""reasoning_summary"": ""The product makes several sustainability-related claims including recognized vegan certifications (V-Label), a natural product claim, and a nutrition label (Nutriscore A). The packaging indicates plastic material with recycling instructions, but no explicit eco-friendly packaging claim is made. The natural claims are somewhat vague but supported by text and image. Overall, the claims are moderate in specificity and supported by visible labels, leading to a medium greenwashing risk score due to some vagueness and limited direct environmental impact claims."", ""needs_human_check"": [""Verification of the authenticity and scope of the V-Label certifications"", ""Clarification on the meaning and standards behind 'natural product' claim"", ""Assessment of the environmental impact of the plastic packaging despite recycling instructions""]}",False,False,1,True
P002,True,specific,1,"{""claim_detected"": true, ""claim_modalities"": [""text""], ""claim_types"": [""organic_or_natural"", ""certification_or_label"", ""plant_based"", ""recycled_material""], ""specificity"": ""specific"", ""evidence_strength"": ""strong"", ""risk_score"": 1, ""risk_label"": ""low"", ""evidence"": [{""modality"": ""text"", ""snippet"": ""issu de l'agriculture biologique (organic agriculture)"", ""explanation"": ""The product explicitly states it is from organic agriculture, a specific and verifiable claim.""}, {""modality"": ""text"", ""snippet"": ""Labels: Fair trade, Organic, EU Organic, Fair-Trade Organic, AB Agriculture Biologique"", ""explanation"": ""Multiple recognized certifications and labels support the organic and fair trade claims, providing strong evidence.""}, {""modality"": ""text"", ""snippet"": ""Ingredients marked with * indicating organic origin and ** indicating French fair trade origin"", ""explanation"": ""Ingredient sourcing is clearly specified as organic and fair trade, reinforcing the claim specificity and strength.""}, {""modality"": ""text"", ""snippet"": ""Categories: Plant-based foods and beverages, Plant-based foods"", ""explanation"": ""The product is categorized as plant-based, which is a factual description of the product type.""}], ""reasoning_summary"": ""The product makes clear, specific, and verifiable sustainability claims primarily related to organic agriculture and fair trade, supported by multiple recognized certifications and detailed ingredient sourcing. The plant-based nature is factual and not a sustainability claim per se. Packaging is plastic but no claim about recyclability or recycled content is made. Overall, the claims are specific and well supported, leading to a low greenwashing risk score of 1."", ""needs_human_check"": []}",True,specific,1,"{""claim_detected"": true, ""claim_modalities"": [""text"", ""image""], ""claim_types"": [""organic_or_natural"", ""certification_or_label"", ""other""], ""specificity"": ""specific"", ""evidence_strength"": ""strong"", ""risk_score"": 1, ""risk_label"": ""low"", ""evidence"": [{""modality"": ""text"", ""snippet"": ""Ingrédients issus de l'Agriculture Biologique, Labels: Fair trade, Organic, EU Organic, Fair-Trade Organic, AB Agriculture Biologique, Agri-Éthique France, Equitable & Local, 1% for the planet"", ""explanation"": ""The product explicitly states use of organic ingredients and multiple recognized certifications related to organic and fair trade agriculture, indicating specific and verifiable sustainability claims.""}, {""modality"": ""image"", ""snippet"": ""Packaging shows 'Bio' label, 'AB Agriculture Biologique' logo, 'Fairtrade France' logo, and 'Emballage recyclable' (recyclable packaging) symbol"", ""explanation"": ""The packaging visually supports the organic and fair trade claims with official logos and also indicates recyclable packaging, reinforcing the sustainability claims.""}], ""reasoning_summary"": ""The product makes clear, specific claims about organic ingredients and fair trade sourcing, supported by multiple recognized certifications visible on the packaging. The recyclable packaging claim is also explicit. These claims are specific and verifiable, reducing greenwashing risk. The presence of multiple certifications and clear labeling leads to a low risk score of 1, reflecting weak or indirect cues only, as the claims are well supported and not vague or sweeping."", ""needs_human_check"": []}",False,False,0,False
P003,True,mixed,3,"{""claim_detected"": true, ""claim_modalities"": [""text""], ""claim_types"": [""packaging_reduction"", ""certification_or_label"", ""vague_eco_language""], ""specificity"": ""mixed"", ""evidence_strength"": ""moderate"", ""risk_score"": 3, ""risk_label"": ""medium"", ""evidence"": [{""modality"": ""text"", ""snippet"": ""Emballage recyclable à 100%"", ""explanation"": ""This is a specific claim about the packaging being fully recyclable, which is a measurable and verifiable claim.""}, {""modality"": ""text"", ""snippet"": ""Pensez au tri!"", ""explanation"": ""Encouragement to sort waste, a vague eco-friendly cue but not a strong claim.""}, {""modality"": ""text"", ""snippet"": ""Point vert"", ""explanation"": ""The Point Vert symbol indicates participation in a recycling program but does not guarantee recyclability or environmental benefit, so it is a weak certification cue.""}], ""reasoning_summary"": ""The product makes a specific claim that its packaging is 100% recyclable, which is a clear and measurable sustainability claim reducing risk. However, other cues like 'Pensez au tri!' and the 'Point Vert' label are vague or weak eco-friendly signals. There is no claim about recycled content or carbon footprint. Overall, the presence of a specific recyclable packaging claim combined with weaker vague cues results in a moderate greenwashing risk score of 3."", ""needs_human_check"": []}",True,mixed,2,"{""claim_detected"": true, ""claim_modalities"": [""text"", ""image""], ""claim_types"": [""packaging_reduction"", ""recyclable"", ""organic_or_natural"", ""other""], ""specificity"": ""mixed"", ""evidence_strength"": ""moderate"", ""risk_score"": 2, ""risk_label"": ""low"", ""evidence"": [{""modality"": ""text"", ""snippet"": ""Emballage recyclable à 100%"", ""explanation"": ""Explicit claim that the packaging is fully recyclable, which is a specific and verifiable sustainability claim.""}, {""modality"": ""image"", ""snippet"": ""EMBALLAGE RECYCLABLE"", ""explanation"": ""The packaging prominently states it is recyclable, reinforcing the text claim.""}, {""modality"": ""image"", ""snippet"": ""Pensez au tri!, Point vert"", ""explanation"": ""The presence of the 'Point vert' symbol and 'Pensez au tri!' encourages recycling, supporting the recyclable packaging claim.""}, {""modality"": ""image"", ""snippet"": ""Avoine, Blé Europe, Riche en fibres"", ""explanation"": ""Claims about ingredients being European oats and wheat and high fiber content suggest natural and health-related positioning but are not direct environmental claims.""}], ""reasoning_summary"": ""The product packaging and text explicitly claim that the packaging is 100% recyclable, supported by visible recycling symbols and instructions. The ingredient claims about European oats and wheat and fiber content imply natural and health benefits but do not directly address environmental sustainability. There is no claim about organic certification or compostability. The recyclable packaging claim is specific and verifiable, reducing greenwashing risk. The natural ingredient cues are moderate but not strong environmental claims. Overall, the greenwashing risk is low due to the specificity and visible support of the recyclable packaging claim and absence of vague or unsupported broad claims."", ""needs_human_check"": []}",False,False,-1,True
P004,True,mixed,2,"{""claim_detected"": true, ""claim_modalities"": [""text""], ""claim_types"": [""certification_or_label"", ""organic_or_natural"", ""packaging_reduction"", ""other""], ""specificity"": ""mixed"", ""evidence_strength"": ""moderate"", ""risk_score"": 2, ""risk_label"": ""low"", ""evidence"": [{""modality"": ""text"", ""snippet"": ""Labels: Low or no fat, Low fat, No preservatives, Reduced fat, Source of fibre, Sustainable farming, Calcium source, EU Agriculture, Green Dot, High fibres, Made in France, Magnesium source, Natural flavors, No colorings, No dyes or preservatives, No palm oil, Nutriscore, Nutriscore Grade C, Rainforest Alliance, Rainforest Alliance Cocoa, UTZ Certified, UTZ Certified Cocoa, Vitamin B6 source, Vitamin B9 source, Vitamin E source, fr:Farine de blé français, fr:Ble-durable"", ""explanation"": ""Multiple sustainability-related labels and certifications are present, including Rainforest Alliance and UTZ Certified Cocoa, which indicate some level of sustainable sourcing. The presence of 'Sustainable farming' and 'No palm oil' claims also support environmental positioning.""}], ""reasoning_summary"": ""The product packaging and text include several sustainability-related claims and certifications, such as Rainforest Alliance and UTZ Certified Cocoa, which are recognized sustainability certifications. There are also claims about sustainable farming and absence of palm oil, which are specific and relevant. However, some claims like 'Natural flavors' and 'Made in France' are less directly related to sustainability. The Nutriscore Grade C is a nutritional label, not environmental. Overall, the claims are specific and supported by recognized certifications, leading to a low greenwashing risk score of 2."", ""needs_human_check"": []}",True,mixed,3,"{""claim_detected"": true, ""claim_modalities"": [""text"", ""image""], ""claim_types"": [""organic_or_natural"", ""packaging_reduction"", ""certification_or_label"", ""vague_eco_language""], ""specificity"": ""mixed"", ""evidence_strength"": ""moderate"", ""risk_score"": 3, ""risk_label"": ""medium"", ""evidence"": [{""modality"": ""text"", ""snippet"": ""No palm oil"", ""explanation"": ""Explicit claim that the product does not contain palm oil, which is often linked to sustainability concerns.""}, {""modality"": ""text"", ""snippet"": ""Sustainable farming, EU Agriculture, Rainforest Alliance, Rainforest Alliance Cocoa, UTZ Certified, UTZ Certified Cocoa"", ""explanation"": ""Multiple certifications and labels related to sustainable agriculture and cocoa sourcing are listed, indicating some level of verified sustainability.""}, {""modality"": ""text"", ""snippet"": ""No preservatives, No colorings, No dyes or preservatives, Natural flavors"", ""explanation"": ""Claims about natural ingredients and absence of artificial additives suggest a natural or organic positioning, though these are somewhat general.""}, {""modality"": ""image"", ""snippet"": ""'Sans huile de palme' (No palm oil) label and Rainforest Alliance logo"", ""explanation"": ""Visible on packaging, reinforcing the no palm oil claim and certified sustainable cocoa sourcing.""}], ""reasoning_summary"": ""The product makes several explicit sustainability claims including no palm oil, use of sustainable farming practices, and certifications like Rainforest Alliance and UTZ for cocoa. These claims are supported by visible labels on the packaging. However, some claims such as 'natural flavors' and 'no preservatives' are broad and less specific. The packaging is plastic with a cardboard box, which is typical but not specifically claimed as sustainable or reduced packaging. Overall, the claims are moderately specific and supported by recognized certifications, leading to a medium greenwashing risk score due to some vague language and lack of detailed substantiation on packaging about the full sustainability of the product and packaging."", ""needs_human_check"": [""Verification of certification authenticity and scope"", ""Assessment of the actual environmental impact of packaging materials""]}",False,False,1,True
P005,True,specific,1,"{""claim_detected"": true, ""claim_modalities"": [""text""], ""claim_types"": [""plant_based"", ""certification_or_label"", ""organic_or_natural"", ""recyclable"", ""other""], ""specificity"": ""specific"", ""evidence_strength"": ""strong"", ""risk_score"": 1, ""risk_label"": ""low"", ""evidence"": [{""modality"": ""text"", ""snippet"": ""Végétalien, 100% végétal, Vegan Cert"", ""explanation"": ""Clear and specific claim that the product is plant-based and vegan certified.""}, {""modality"": ""text"", ""snippet"": ""Entreprise B certifiée"", ""explanation"": ""Certification indicating social and environmental responsibility.""}, {""modality"": ""text"", ""snippet"": ""FSC, FSC Mix"", ""explanation"": ""Certification related to responsible sourcing of packaging materials.""}, {""modality"": ""text"", ""snippet"": ""Point Vert"", ""explanation"": ""Indicates participation in a packaging recovery scheme, implying recyclability.""}], ""reasoning_summary"": ""The product makes several specific and verifiable sustainability claims, including vegan certification, B Corp certification, FSC certification for packaging, and participation in a packaging recovery scheme. These claims are supported by recognized labels and certifications, reducing greenwashing risk. The claims are specific and measurable rather than vague or sweeping, leading to a low risk score of 1."", ""needs_human_check"": []}",True,mixed,2,"{""claim_detected"": true, ""claim_modalities"": [""text"", ""image""], ""claim_types"": [""organic_or_natural"", ""plant_based"", ""certification_or_label"", ""vague_eco_language""], ""specificity"": ""mixed"", ""evidence_strength"": ""moderate"", ""risk_score"": 2, ""risk_label"": ""low"", ""evidence"": [{""modality"": ""text"", ""snippet"": ""100% végétal, Végétalien, Végétarien, Source de fibres alimentaires, Source de calcium, Entreprise B certifiée, Agriculture UE, FSC, FSC Mix, Point Vert, Sans conservateurs, Sans sucre ajouté, Sans colorants, Sans lactose, Sans acides gras trans, Sans ajout de produit laitiers, Sans édulcorants, Vegan Cert"", ""explanation"": ""Multiple certifications and ingredient claims indicate plant-based, vegan, and some environmental certifications (FSC, B Corp). These are specific and verifiable claims supporting sustainability.""}, {""modality"": ""image"", ""snippet"": ""alpro OAT all plant, no added sugars Nutri-Score A"", ""explanation"": ""The front packaging highlights 'all plant' and 'no added sugars' which supports the plant-based claim. Nutri-Score A indicates a healthier nutritional profile but is not a direct sustainability claim.""}], ""reasoning_summary"": ""The product makes explicit sustainability claims related to being 100% plant-based, vegan, and certified by recognized labels such as FSC and B Corp. The ingredient list and absence of additives support natural and health-related claims. The packaging visually supports these claims with clear text. The claims are specific and supported by certifications, reducing greenwashing risk. However, some claims like 'Agriculture UE' and 'Point Vert' are broad and not fully detailed here, so a low risk score is appropriate."", ""needs_human_check"": []}",False,True,1,True
P006,True,mixed,2,"{""claim_detected"": true, ""claim_modalities"": [""text""], ""claim_types"": [""organic_or_natural"", ""packaging_reduction"", ""certification_or_label"", ""vague_eco_language""], ""specificity"": ""mixed"", ""evidence_strength"": ""moderate"", ""risk_score"": 2, ""risk_label"": ""low"", ""evidence"": [{""modality"": ""text"", ""snippet"": ""No preservatives, No colorings, No dyes or preservatives, No palm oil, Natural flavors"", ""explanation"": ""These claims suggest natural ingredients and absence of certain additives, indicating a natural or organic positioning but without certification details.""}, {""modality"": ""text"", ""snippet"": ""Sustainable farming"", ""explanation"": ""This label suggests some sustainability in sourcing but is vague without further details or certification.""}, {""modality"": ""text"", ""snippet"": ""PENSEZ AU TRI ! FILM PLASTIQUE ETUI CARTON À JETER O A RECYCLER"", ""explanation"": ""Packaging includes recycling instructions, indicating some attention to packaging waste management.""}, {""modality"": ""text"", ""snippet"": ""Nutriscore Grade A"", ""explanation"": ""Nutriscore is a recognized nutrition label, indirectly supporting health-related claims but not directly environmental.""}], ""reasoning_summary"": ""The product makes several sustainability-related claims such as absence of preservatives and palm oil, natural flavors, and mentions sustainable farming. Packaging includes recycling instructions. However, the claims are somewhat vague and lack detailed certification or measurable data. The presence of multiple claims with moderate specificity and some evidence reduces greenwashing risk to a low level."", ""needs_human_check"": [""Verification of 'Sustainable farming' claim details and certification"", ""Clarification on the extent of natural ingredient sourcing and processing""]}",True,mixed,3,"{""claim_detected"": true, ""claim_modalities"": [""text"", ""image""], ""claim_types"": [""packaging_reduction"", ""carbon_or_climate"", ""vague_eco_language"", ""certification_or_label""], ""specificity"": ""mixed"", ""evidence_strength"": ""moderate"", ""risk_score"": 3, ""risk_label"": ""medium"", ""evidence"": [{""modality"": ""image"", ""snippet"": ""-12% QUANTITÉ DE PRODUIT ÉCHANGÉE CARTON"", ""explanation"": ""This indicates a 12% reduction in product quantity per carton, implying packaging or resource efficiency.""}, {""modality"": ""image"", ""snippet"": ""SANS HUILE DE PALME Pour l'environnement"", ""explanation"": ""Explicit claim of no palm oil use, linked to environmental benefit.""}, {""modality"": ""image"", ""snippet"": ""Nutri-Score A"", ""explanation"": ""Nutri-Score label indicating nutritional quality, indirectly supporting health-related sustainability.""}, {""modality"": ""image"", ""snippet"": ""PENSEZ AU TRI ! FILM PLASTIQUE ETUI CARTON À JETER O A RECYCLER"", ""explanation"": ""Recycling instructions encouraging proper waste sorting, a sustainability cue.""}], ""reasoning_summary"": ""The product packaging and text contain several explicit sustainability claims: a 12% reduction in product quantity per carton (suggesting packaging reduction), no palm oil use (environmental benefit), and recycling instructions. The Nutri-Score label supports health-related sustainability but is not an environmental claim per se. The claims are somewhat specific but lack detailed evidence or certification beyond Nutri-Score. The 'no palm oil' claim is clear but not quantified. The packaging reduction claim is specific but limited in scope. Overall, the claims are moderate in specificity and evidence, leading to a medium greenwashing risk score of 3 due to some vagueness and limited substantiation."", ""needs_human_check"": [""Verification of the actual environmental impact of the 12% product quantity reduction"", ""Confirmation of the sourcing and sustainability of ingredients beyond 'no palm oil' claim"", ""Assessment of the overall environmental footprint of the product beyond packaging and palm oil absence""]}",False,False,1,True
